projektzuordnung,aktenzeichen,aussergerichtliche_za_verschickt_datum,vergleich_annahme_durch_VW,I. Instanz: Urteil,Verkauft,Verkaufspreis,FIN,Gebühren erhalten,"Gebühren abweichend von 2,8",extracted_amount,EUR Amount
sk_grossmigration_2021,004344-2022/001:00,2/3/2022 15:07,9/29/2023,Vergleich,0,,TMBUH61Z5C2074971,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,004347-2022/001:00,2/3/2022 15:10,11/8/2023,Vergleich,1,3500,WVWZZZ1KZCW310348,€ 591.79,,"591,79 EUR","591,79 "
sk_grossmigration_2021,004384-2022/001:00,2/3/2022 15:20,3/13/2024,Vergleich,1,1000,WVWZZZ1KZBW526922,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,004311-2022/001:00,2/5/2022 7:29,9/29/2023,Vergleich,0,,VSSZZZ7NZCV510424,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,004335-2022/001:00,2/5/2022 7:54,11/8/2023,Vergleich,1,11000,WVWZZZ1FZDV008547,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,004415-2022/001:00,2/5/2022 8:04,10/19/2023,Vergleich,0,,WVWZZZ1KZ9M287598,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,004419-2022/001:00,2/5/2022 8:10,9/11/2023,Vergleich,0,,WVGZZZ1TZDW088910,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,004429-2022/001:00,2/5/2022 8:11,10/19/2023,Vergleich,0,,TMBHT61Z8D2088915,€ 735.06,,"735,06 EUR","735,06 "
sk_grossmigration_2021,004436-2022/001:00,2/5/2022 8:14,9/29/2023,Vergleich,0,,TMBJE73T9E9046658,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,004452-2022/001:00,2/5/2022 8:32,9/29/2023,Vergleich,0,,WVWZZZ1KZCM653554,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,004453-2022/001:00,2/5/2022 8:44,11/8/2023,Vergleich,1,11568.75,WVGZZZ5NZBW090944,"€ 1,164.89",,"1.164,89 EUR","1.164,89 "
sk_grossmigration_2021,004293-2022/001:00,2/8/2022 8:44,11/6/2023,Vergleich,1,5830.25,WV1ZZZ2KZEX049911,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,004305-2022/001:00,2/7/2022 14:57,11/6/2023,Vergleich,1,1,WVWZZZ3CZ8E196278,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,004017-2022/001:00,2/3/2022 8:19,9/29/2023,Vergleich,0,,WVWZZZ3CZFE053650,"€ 1,451.90",,"1.451,90 EUR","1.451,90 "
sk_grossmigration_2021,004039-2022/001:00,2/1/2022 16:12,9/29/2023,Vergleich,0,,WV2ZZZ2KZCX089688,"€ 1,164.89",,"1.164,89 EUR","1.164,89 "
sk_grossmigration_2021,004050-2022/001:00,2/1/2022 16:15,11/8/2023,Vergleich,1,8000,WVGZZZ5NZFW000368,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,004040-2022/001:00,2/2/2022 10:41,9/29/2023,Vergleich,0,,TMBJE73T1E9029367,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,004012-2022/001:00,2/3/2022 7:03,3/8/2024,Vergleich,0,,WAUZZZ8P4BA023844,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,004014-2022/001:00,2/3/2022 7:05,9/29/2023,Vergleich,0,,WVWZZZ7NZEV030183,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,004023-2022/001:00,2/2/2022 10:35,9/29/2023,Vergleich,0,,WVGZZZ1TZCW047027,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,004027-2022/001:00,2/1/2022 15:53,9/29/2023,Vergleich,0,,WVGZZZ1TZCW072852,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,004044-2022/001:00,2/2/2022 10:42,10/19/2023,Vergleich,0,,WVGZZZ1TZCW117015,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,004061-2022/001:00,2/3/2022 7:58,9/29/2023,Vergleich,0,,VSSZZZ7NZFV500250,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,004070-2022/001:00,2/3/2022 8:00,2/23/2024,Vergleich,0,,WAUZZZ8K4DA223064,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,004062-2022/001:00,2/3/2022 8:01,9/29/2023,Vergleich,0,,WVWZZZ3CZEE134798,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,004063-2022/001:00,2/3/2022 8:03,10/19/2023,Vergleich,0,,WVWZZZ3CZCE712763,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,004068-2022/001:00,2/3/2022 8:07,9/29/2023,Vergleich,0,,TMBHT61Z2D2069857,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
